# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


📺VPN直播频道,#genre#





☘️VPN日本Tokyo,#genre#


☘️测试,#genre#

TD+2 HD CR,http://38.180.133.31:8000/play/a0ku/index.m3u8
TD+HD CR,http://38.180.133.31:8000/play/a0kt/index.m3u8
TELEVICENTRO,http://38.180.133.31:8000/play/televicentro/index.m3u8
TLC,http://38.180.133.31:8000/play/a0ow/index.m3u8
TNT,http://38.180.133.31:8000/play/a0ni/index.m3u8
TNT HD,http://38.180.133.31:8000/play/a10p/index.m3u8
TNT HD,http://38.180.133.31:8000/play/a0p7/index.m3u8
TNT Novelas,http://38.180.133.31:8000/play/a0nb/index.m3u8
TNT SPORTS HD,http://38.180.133.31:8000/play/a0t2/index.m3u8
TNT Series HD,http://38.180.133.31:8000/play/a10u/index.m3u8
TNT Series HD,http://38.180.133.31:8000/play/a0qr/index.m3u8
TNT Sports Premiun HD,http://38.180.133.31:8000/play/a149/index.m3u8
TNT Sports Premiun SD,http://38.180.133.31:8000/play/a11j/index.m3u8
TV+,http://38.180.133.31:8000/play/a14b/index.m3u8
TVChile,http://38.180.133.31:8000/play/a0wm/index.m3u8
TVE,http://38.180.133.31:8000/play/a0qf/index.m3u8
TVN HD,http://38.180.133.31:8000/play/a10l/index.m3u8
Teen Nick HD,http://38.180.133.31:8000/play/a0nt/index.m3u8
Teleamazonas,http://38.180.133.31:8000/play/a11p/index.m3u8
Teleamazonas,http://38.180.133.31:8000/play/a13r/index.m3u8
Teleislas,http://38.180.133.31:8000/play/a12r/index.m3u8
Telemundo,http://38.180.133.31:8000/play/a0n7/index.m3u8
Telemundo HD,http://38.180.133.31:8000/play/a0o0/index.m3u8
Telenovelas,http://38.180.133.31:8000/play/a13v/index.m3u8
Telenovelas,http://38.180.133.31:8000/play/a0zd/index.m3u8
Telesistema RD,http://38.180.133.31:8000/play/a0mv/index.m3u8
Televicentro,http://38.180.133.31:8000/play/a13c/index.m3u8
Televida RD,http://38.180.133.31:8000/play/a0wp/index.m3u8
Tigo Sports HD,http://38.180.133.31:8000/play/a0p5/index.m3u8
Tooncast,http://38.180.133.31:8000/play/a0om/index.m3u8
TyC Sports,http://38.180.133.31:8000/play/a11t/index.m3u8
UNIVERSAL CINEMA ESTE HD,http://38.180.133.31:8000/play/a0qx/index.m3u8
UNIVERSAL COMEDY HD,http://38.180.133.31:8000/play/a0pi/index.m3u8
UNIVERSAL CRIME HD,http://38.180.133.31:8000/play/a0ph/index.m3u8
UNIVERSAL PREMIERE HD,http://38.180.133.31:8000/play/a0pe/index.m3u8
UNIVERSAL PREMIERE O HD,http://38.180.133.31:8000/play/a0pf/index.m3u8
UNIVERSAL REALITY HD,http://38.180.133.31:8000/play/a0pg/index.m3u8
USA,http://38.180.133.31:8000/play/a13p/index.m3u8
Universal,http://38.180.133.31:8000/play/a0q7/index.m3u8
Univision HD,http://38.180.133.31:8000/play/a0qv/index.m3u8
Venus,http://38.180.133.31:8000/play/a0ze/index.m3u8
Via X Esports,http://38.180.133.31:8000/play/a0u6/index.m3u8
WARNER HD,http://38.180.133.31:8000/play/a0p2/index.m3u8
WUAN +,http://38.180.133.31:8000/play/wuan/index.m3u8
WUAN+,http://38.180.133.31:8000/play/a143/index.m3u8
Warner,http://38.180.133.31:8000/play/a0op/index.m3u8
Warner Channel HD,http://38.180.133.31:8000/play/a0sz/index.m3u8
Win Sports,http://38.180.133.31:8000/play/a11m/index.m3u8
Win Sports+ HD,http://38.180.133.31:8000/play/a13o/index.m3u8
ZooMoo,http://38.180.133.31:8000/play/a0kg/index.m3u8














☘️VPN 日本,#genre#
JAPAN HDV,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/6225/manifest.m3u8

☘️VPN 微sex,#genre#
Miami TV1,http://59ec5453559f0.streamlock.net:1935/Sunbeachtv/smil:WEB/chuklist.m3u8
Miami TV2,http://59ec5453559f0.streamlock.net/mexicotv/smil:miamitvmexico/playlist.m3u8
Miami TV2,https://59ec5453559f0.streamlock.net/mexicotv/smil:miamitvmexico/playlist.m3u8
Miami TV3,https://59ec5453559f0.streamlock.net/Latino/smil:WEB/chunklist.m3u8
Miami TV4,http://59ec5453559f0.streamlock.net:1935/JennyLive/JennyLive/playlist.m3u8
Miami TV5,http://59ec5453559f0.streamlock.net/JennyLive/JennyLive/playlist.m3u8
Miami TV5,https://59ec5453559f0.streamlock.net/JennyLive/JennyLive/playlist.m3u8
Miami TV7,http://59ec5453559f0.streamlock.net/miamitv/smil:WEB/chunklist_w131582150_b1896000.m3u8
Miami TV7,https://59ec5453559f0.streamlock.net/miamitv/smil:WEB/chunklist_w131582150_b1896000.m3u8
Liberty HD,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/16069/index.m3u8


☘️VPN sexTV,#genre#


21NATURALS01,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12169/manifest.m3u8
21SEXTURY01,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12111/manifest.m3u8
21SEXTURY02,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12205/manifest.m3u8
21SEXTURY02,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/6164/manifest.m3u8
Adult Time,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/6166/manifest.m3u8
Alba XXX HD01,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12194/manifest.m3u8
Alba XXX HD02,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12204/manifest.m3u8
Alba XXX HD03,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12105/manifest.m3u8
Alba XXX HD03,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12106/manifest.m3u8
Alex Legend,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12193/manifest.m3u8
All Anal,http://88b9da48.kazmazpaz.ru/iptv/2EA55L4SUE4RH4/12192/manifest.m3u8
